"storage_key","title","artist","youtube","status","query"
"song_mordomia","Mordomia","Almir Guineto","https://www.youtube.com/watch?v=AHeHlpl-DfE","yt-search-found","Mordomia Almir Guineto oficial"
"song_mulheres","Mulheres","Jorge Aragão","https://www.youtube.com/watch?v=87i1ZjqO7L8","yt-search-found","Mulheres Jorge Aragão oficial"
"song_não_me_diga_adeus","Não me diga adeus","Alcione","https://www.youtube.com/watch?v=ekP2VY0KoTQ","yt-search-found","Não me diga adeus Alcione oficial"
"song_não_posso_esquecer_o_seu_olhar","Não posso esquecer o seu olhar","","https://www.youtube.com/watch?v=eZuVfLkd5nI","yt-search-found","Não posso esquecer o seu olhar samba"
"song_não_posso_ficar_nem_mais_um_minuto_(trem_das_onze)","Não posso ficar nem mais um minuto (trem das onze)","Adoniran Barbosa","https://www.youtube.com/watch?v=RkkGVgOqPuM","yt-search-found","Não posso ficar nem mais um minuto (trem das onze) Adoniran Barbosa oficial"
"song_ô_avió_raió","Ô avió raió","Folclore / Domínio Público","https://www.youtube.com/watch?v=xJWstAQA0nU","yt-search-found","Ô avió raió Folclore / Domínio Público oficial"
"song_o_bêbado_e_o_equilibrista","O bêbado e o equilibrista","Elis Regina / João Bosco","https://www.youtube.com/watch?v=J07Mr2rkwT8","yt-search-found","O bêbado e o equilibrista Elis Regina / João Bosco oficial"
"song_o_morro_não_tem_vez","O morro não tem vez","Tom Jobim / Vinícius de Moraes","https://www.youtube.com/watch?v=wRY5xrl29HI","yt-search-found","O morro não tem vez Tom Jobim / Vinícius de Moraes oficial"
"song_o_nosso_amor","O nosso amor","","https://www.youtube.com/watch?v=o9NCq5U_I0Q","yt-search-found","O nosso amor samba"
"song_olho_por_olho","Olho por olho","Beth Carvalho","https://www.youtube.com/watch?v=2tbsMPhuPdA","yt-search-found","Olho por olho Beth Carvalho oficial"
"song_papo_de_samba","Papo de samba","Fundo de Quintal","https://www.youtube.com/watch?v=S4y2jT7mMzY","yt-search-found","Papo de samba Fundo de Quintal oficial"
"song_pra_tudo_se_acabar_na_quarta-feira","Pra tudo se acabar na quarta-feira","Martinho da Vila","https://www.youtube.com/watch?v=fBaKBSLsxLo","yt-search-found","Pra tudo se acabar na quarta-feira Martinho da Vila oficial"
"song_preciso_me_encontrar","Preciso me encontrar","Candeia","https://www.youtube.com/watch?v=56mu8KSUYqk","yt-search-found","Preciso me encontrar Candeia oficial"
"song_samba_blim_blim_blau","Samba blim blim blau","","https://www.youtube.com/watch?v=kF3sNRq1p0M","yt-search-found","Samba blim blim blau samba"
"song_se_vem_dia_meu_coração","Se vem dia meu coração","","https://www.youtube.com/watch?v=k2jawv-3UoI","yt-search-found","Se vem dia meu coração samba"
"song_sem_compromisso","Sem compromisso","Chico Buarque","https://www.youtube.com/watch?v=BqxF6RI9rV4","yt-search-found","Sem compromisso Chico Buarque oficial"
"song_sonho_meu","Sonho meu","Dona Ivone Lara / Zeca Pagodinho","https://www.youtube.com/watch?v=f7KT1OaPEcg","yt-search-found","Sonho meu Dona Ivone Lara / Zeca Pagodinho oficial"
"song_sorriso_negro","Sorriso negro","Dona Ivone Lara","https://www.youtube.com/watch?v=AYVu3mTUuLc","yt-search-found","Sorriso negro Dona Ivone Lara oficial"
"song_tristeza_por_favor","Tristeza por favor","","https://www.youtube.com/watch?v=gNemysMcHUs","yt-search-found","Tristeza por favor samba"
"song_vai_vadiar_(vai_bambacão)","Vai vadiar (vai bambacão)","","https://www.youtube.com/watch?v=uFzsfe5EEaE","yt-search-found","Vai vadiar (vai bambacão) samba"
"song_voltar_a_paz","Voltar a paz","","https://www.youtube.com/watch?v=FvKhIvxivDM","yt-search-found","Voltar a paz samba"
